symbol,type,amount,entry_price,exit_price,predicted_change,actual_change,confidence,timestamp,profit,running_balance,drawdown,prediction_error,prediction_direction_correct,cumulative_profit,drawdown_pct,rolling_win_rate,rolling_avg_profit
frxEURUSD,CALL,20.0,1.0479,1.04796,0.005,5.7257371886581714e-05,0.7,2025-02-27T10:13:51.150750,0.0011999999999989797,0.0011999999999989797,0.0,0.004942742628113418,True,0.0011999999999989797,0.0,,
frxEURUSD,CALL,20.0,1.04788,1.04773,0.005,-0.00014314616177412724,0.7,2025-02-27T10:15:02.286522,-0.002999999999997449,-0.0017999999999984695,2.5,0.005143146161774127,False,-0.0017999999999984695,250.0,,
frxEURUSD,CALL,20.0,1.04776,1.04783,0.005,6.680919294496306e-05,0.7,2025-02-27T10:16:13.189740,0.00140000000000029,-0.0003999999999981796,1.3333333333320998,0.004933190807055037,True,-0.0003999999999981796,133.33333333321,,
frxEURUSD,CALL,20.0,1.04785,1.04783,0.005,-1.9086701340753905e-05,0.7,2025-02-27T10:17:24.125725,-0.0003999999999981796,-0.0007999999999963592,1.6666666666641996,0.005019086701340754,False,-0.0007999999999963592,166.66666666641996,,
frxEURUSD,CALL,20.0,1.04785,1.04776,0.005,-8.589015603371044e-05,0.7,2025-02-27T10:18:35.026573,-0.0017999999999984695,-0.0025999999999948287,3.1666666666641996,0.00508589015603371,False,-0.0025999999999948287,316.66666666642,,
frxEURUSD,CALL,20.0,1.04767,1.04762,0.005,-4.7724951559274876e-05,0.7,2025-02-27T10:19:45.906989,-0.0010000000000021103,-0.003599999999996939,4.0,0.005047724951559275,False,-0.003599999999996939,400.0,,
frxEURUSD,CALL,20.0,1.04753,1.04756,0.005,2.863879793416369e-05,0.7,2025-02-27T10:20:56.872283,0.0005999999999994898,-0.002999999999997449,3.5,0.004971361202065837,True,-0.002999999999997449,350.0,,
frxEURUSD,CALL,20.0,1.04751,1.04756,0.005,4.773224121975496e-05,0.7,2025-02-27T10:22:07.843769,0.0010000000000021103,-0.001999999999995339,2.6666666666641996,0.004952267758780245,True,-0.001999999999995339,266.66666666642,,
frxEURUSD,CALL,20.0,1.04758,1.04761,0.005,2.8637431031495917e-05,0.7,2025-02-27T10:23:18.747034,0.0005999999999994898,-0.001399999999995849,2.1666666666641996,0.004971362568968504,True,-0.001399999999995849,216.66666666641996,,
frxEURUSD,CALL,20.0,1.04762,1.04756,0.005,-5.7272675206610204e-05,0.7,2025-02-27T10:24:29.663892,-0.0011999999999989797,-0.0025999999999948287,3.1666666666641996,0.00505727267520661,False,-0.0025999999999948287,316.66666666642,50.0,-0.00025999999999948287
